conversation_id,conversation_text,task_domain,channel,Conversational Authenticity,Conversation Type,Communication Medium,Manipulation Type,Malicious,Threat Severity,Impersonation,urgency_score_0_10,Emotional State,Verification Behavior,suggested_action
4634,"Daniel follows up with the support center about requesting updated bank details, but the message remains safe because it keeps the conversation focused on the original topic and avoids emotional pressure. The message includes normal context and does not ask the receiver to bypass official steps.",banking,Voice Transcript,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Provides normal verification,Allow
4635,"The message is suspiciously mixed: it begins with informal human wording, then avoids naming the branch or office and turns into a carefully persuasive request. The suspicious part is that the sender avoids naming the branch or office while demanding that the receiver click an unknown payment link.",electricity complaint,Email,Suspicious,Human + AI Edited Conversation,Text,AI-Assisted Rewriting,E-commerce Scam,Medium,Investment Advisor,3,reward,Allows verification,Verify First
4636,"The dialogue is consistent with genuine communication because it discusses asking for permission to submit late, provides enough context for the request, and contains no hidden identity claim. The message includes normal context and does not ask the receiver to bypass official steps.",research collaboration,WhatsApp,Real,Genuine Human Conversation,Text,None,None,Low,None,1,none,Provides normal verification,Allow
4637,"Sophia follows up with the property office about confirming a payment receipt, but the message remains safe because it provides enough context for the request and avoids emotional pressure. The sender gives the receiver enough time to check the details before replying.",investment platform,Social Media DM,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Provides normal verification,Allow
4638,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about tax office. The risk increases because the message links tax office with sympathy and immediate compliance.,tax office,Voice Transcript,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Charity Scam,Medium,Investment Advisor,8,sympathy,Avoids verification,Verify First
4639,"The message reads like an AI-generated response because it summarizes confirming a lab test schedule, uses balanced formal wording, and does not react naturally to the receiver's concern. The receiver is not given a safe chance to confirm the claim through the exam office.",exam registration,SMS,Fake,AI-Generated Text Conversation,Chat App,Synthetic Text Generation,Account Takeover,Medium,None,6,authority,Pushes immediate action,Verify First
4640,"The message imitates the travel agency, creates a deadline around medical lab report, gives no verifiable institutional contact, and discourages the receiver from verifying independently. The risk increases because the message links medical lab report with urgency and immediate compliance.",medical lab report,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Job Scam,High,Delivery Rider,10,urgency,Avoids verification,Warn User
4641,"The conversation becomes risky because it uses fear pressure, offers a reward for immediate confirmation, and pushes the receiver to send a one-time password without normal verification. The conversation attempts to control the receiver's next action rather than allow independent verification.",property rental,Chat App,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,OTP Theft,Critical,Delivery Rider,10,fear,Pushes immediate action,Block and Escalate
4642,"The conversation becomes risky because it uses fear pressure, offers a reward for immediate confirmation, and pushes the receiver to avoid calling the official office without normal verification. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",government service,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Emergency Financial Scam,Critical,Parent,7,fear,Refuses call-back,Block and Escalate
4643,"The conversation becomes risky because it uses panic pressure, ignores a direct question and repeats the instruction, and pushes the receiver to click an unknown payment link without normal verification. The risk increases because the message links travel booking with panic and immediate compliance.",travel booking,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Tax Refund Scam,High,HR Manager,10,panic,Pushes immediate action,Warn User
4644,"A suspicious sender pretends to be Doctor, claims there is a problem in visa documentation, adds emotional pressure after the receiver hesitates, and asks the receiver to avoid calling the official office. The receiver is not given a safe chance to confirm the claim through the online store.",visa documentation,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,Identity Fraud,Critical,Doctor,9,fear,Refuses call-back,Block and Escalate
4645,"In a normal conversation about clarifying assignment requirements, the sender asks to bring the printed form, gives enough background, and does not force immediate action. The receiver can verify it through the online store, so the risk remains limited.",parcel delivery,Voice Transcript,Real,Genuine Human Conversation,Email,None,None,Low,None,1,trust,Allows verification,Allow
4646,"The message imitates the support center, creates a deadline around visa documentation, adds a reference number without a traceable source, and discourages the receiver from verifying independently. The conversation attempts to control the receiver's next action rather than allow independent verification.",visa documentation,SMS,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Identity Fraud,High,Parent,8,panic,Pushes immediate action,Warn User
4647,"Sameer follows up with the bank about confirming a payment receipt, but the message remains safe because it does not request passwords or OTPs and avoids emotional pressure. The receiver can verify it through the bank, so the risk remains limited.",charity donation,SMS,Real,Genuine Human Conversation,Text,None,None,Low,None,0,none,Allows verification,Allow
4648,"A fake-looking conversation about property rental asks the receiver to pay a small release fee, while the sender uses formal wording inconsistent with earlier messages and avoids a clear identity check. The receiver is not given a safe chance to confirm the claim through the scholarship office.",property rental,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Medical Scam,Critical,Child,8,panic,Refuses call-back,Block and Escalate
4649,"The text uses smooth transitions and complete sentences about investment platform, yet it feels artificial because it ignores the practical question raised earlier. The risk increases because the message links investment platform with confusion and immediate compliance.",investment platform,Chat App,Fake,AI-Generated Text Conversation,Text,Template-Like Generation,Phishing,High,HR Manager,4,confusion,Allows verification,Warn User
4650,"The conversation becomes risky because it uses guilt pressure, says the issue cannot wait until morning, and pushes the receiver to transfer money quickly without normal verification. The suspicious part is that the sender mentions a delayed verification window while demanding that the receiver share a wallet PIN.",family emergency,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Emergency Financial Scam,Critical,Parent,10,guilt,Refuses call-back,Block and Escalate
4651,"The message imitates the exam office, creates a deadline around clinic follow-up, refers to a blocked dashboard notification, and discourages the receiver from verifying independently. The risk increases because the message links clinic follow-up with authority and immediate compliance.",clinic follow-up,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Authority Spoofing,Charity Scam,High,Customer Support,9,authority,Requests secrecy,Warn User
4652,"The conversation becomes risky because it uses authority pressure, asks the receiver not to discuss the matter, and pushes the receiver to click an unknown payment link without normal verification. The conversation attempts to control the receiver's next action rather than allow independent verification.",job recruitment,WhatsApp,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Emotional Manipulation,Romance Scam,Critical,Insurance Agent,10,authority,Requests secrecy,Block and Escalate
4653,"Laiba's message begins with a human note about confirming office hours, then becomes unusually polished, asks for a screenshot of a confirmation code, and adds persuasive pressure near the end. The risk increases because the message links utility billing with reward and immediate compliance.",utility billing,SMS,Suspicious,Human + AI Edited Conversation,Text,AI-Assisted Rewriting,Charity Scam,High,HR Manager,5,reward,Avoids verification,Warn User
4654,"The message imitates the visa center, creates a deadline around telecom support, offers a reward for immediate confirmation, and discourages the receiver from verifying independently. The conversation attempts to control the receiver's next action rather than allow independent verification.",telecom support,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Account Takeover,High,Friend,10,panic,Pushes immediate action,Warn User
4655,"The chat has mass-message features, including reward wording, asks for a screenshot of a confirmation code, and a request to avoid calling the official office. The receiver is not given a safe chance to confirm the claim through the insurance office.",government service,Chat App,Fake,Bot-Generated Conversation,Chat App,Automated Phishing,Lottery Scam,High,Customer Support,6,authority,Pushes immediate action,Warn User
4656,"The generated-looking message provides neat steps for confirming document submission, but the tone is too uniform and the sender adds emotional pressure after the receiver hesitates. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",conference registration,WhatsApp,Fake,AI-Generated Text Conversation,Text,Synthetic Text Generation,None,Low,Bank Officer,2,none,Avoids verification,Allow
4657,"The conversation becomes risky because it uses guilt pressure, avoids naming the branch or office, and pushes the receiver to pay a small release fee without normal verification. The conversation attempts to control the receiver's next action rather than allow independent verification.",family emergency,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Urgency Pressure,OTP Theft,Critical,Courier Agent,8,guilt,Avoids verification,Block and Escalate
4658,"A long explanation about online shopping appears polished but shallow, with generic reassurance, claims the old number is unavailable, and no specific shared background. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",online shopping,Voice Transcript,Fake,AI-Generated Text Conversation,Email,Template-Like Generation,None,High,HR Manager,6,confusion,Avoids verification,Warn User
4659,"A scripted message from the mobile wallet team claims an opportunity is available, uses generic greetings, and pushes the receiver to reply with card details. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",investment platform,SMS,Fake,Bot-Generated Conversation,Social Media DM,Automated Phishing,Parcel Scam,High,Bank Officer,9,reward,Pushes immediate action,Warn User
4660,"The message imitates the mobile wallet team, creates a deadline around electricity complaint, mentions a delayed verification window, and discourages the receiver from verifying independently. The suspicious part is that the sender shares a shortened link instead of an official portal while demanding that the receiver pay a small release fee.",electricity complaint,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Urgency Pressure,Scholarship Scam,Critical,Child,9,fear,Pushes immediate action,Block and Escalate
4661,"The dialogue is consistent with genuine communication because it discusses asking for a location pin, does not ask for secrecy, and contains no hidden identity claim. The request is linked to asking for a location pin, and no confidential credential is requested.",electricity complaint,Chat App,Real,Genuine Human Conversation,Email,None,None,Low,None,2,trust,No verification needed,Allow
4662,"In a normal conversation about confirming a supervisor meeting, the sender asks to send the project update, gives enough background, and does not force immediate action. The request is linked to confirming a supervisor meeting, and no confidential credential is requested.",mobile wallet,Chat App,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,none,Allows verification,Allow
4663,"The generated-looking message provides neat steps for confirming a payment receipt, but the tone is too uniform and the sender mentions a delayed verification window. The conversation attempts to control the receiver's next action rather than allow independent verification.",property rental,WhatsApp,Fake,AI-Generated Text Conversation,Text,LLM-Generated Reply,None,Medium,None,5,trust,Avoids verification,Verify First
4664,"The conversation shows automated behavior because every reply redirects the receiver toward the same action, even after a different question is asked. The suspicious part is that the sender adds emotional pressure after the receiver hesitates while demanding that the receiver avoid calling the official office.",research collaboration,Chat App,Fake,Bot-Generated Conversation,Chat App,Automated Phishing,Account Takeover,High,Courier Agent,7,authority,Requests secrecy,Warn User
4665,"The generated-looking message provides neat steps for confirming a payment receipt, but the tone is too uniform and the sender asks the receiver not to discuss the matter. The conversation attempts to control the receiver's next action rather than allow independent verification.",investment platform,Email,Fake,AI-Generated Text Conversation,Chat App,Synthetic Text Generation,None,Medium,None,3,confusion,Pushes immediate action,Verify First
4666,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about school communication sound smoother and more strategic. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",school communication,Social Media DM,Suspicious,Human + AI Edited Conversation,Text,Persuasive Reframing,Scholarship Scam,Medium,Customer Support,7,authority,Avoids verification,Verify First
4667,"A long explanation about pharmacy delivery appears polished but shallow, with generic reassurance, ignores a direct question and repeats the instruction, and no specific shared background. The risk increases because the message links pharmacy delivery with none and immediate compliance.",pharmacy delivery,Email,Fake,AI-Generated Text Conversation,Email,Synthetic Text Generation,None,Medium,None,4,none,Avoids verification,Verify First
4668,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about pharmacy delivery. The risk increases because the message links pharmacy delivery with authority and immediate compliance.,pharmacy delivery,Voice Transcript,Suspicious,Human + AI Edited Conversation,Email,Polished Manipulation,None,Medium,None,5,authority,Avoids verification,Verify First
4669,"The message imitates the travel agency, creates a deadline around parcel delivery, gives no verifiable institutional contact, and discourages the receiver from verifying independently. The risk increases because the message links parcel delivery with panic and immediate compliance.",parcel delivery,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Urgency Pressure,Lottery Scam,Critical,Insurance Agent,9,panic,Refuses call-back,Block and Escalate
4670,"The message imitates the university portal, creates a deadline around investment platform, uses a new contact number without explanation, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the university portal.",investment platform,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Identity Fraud,Critical,Parent,8,panic,Refuses call-back,Block and Escalate
4671,"A scripted message from the telecom office claims an opportunity is available, uses generic greetings, and pushes the receiver to install a remote access app. The suspicious part is that the sender uses unusually polished wording for a personal emergency while demanding that the receiver install a remote access app.",loan approval,SMS,Fake,Bot-Generated Conversation,Chat App,Mass Messaging,E-commerce Scam,High,Customer Support,8,reward,Avoids verification,Warn User
4672,"Iqra follows up with the bank about checking a meeting time, but the message remains safe because it provides enough context for the request and avoids emotional pressure. The receiver can verify it through the bank, so the risk remains limited.",tax office,SMS,Real,Genuine Human Conversation,Text,None,None,Low,None,0,none,Allows verification,Allow
4673,"The message imitates the HR department, creates a deadline around government service, asks for a screenshot of a confirmation code, and discourages the receiver from verifying independently. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",government service,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Tax Refund Scam,Critical,Child,8,guilt,Pushes immediate action,Block and Escalate
4674,"Hina's message begins with a human note about following up on a courier delay, then becomes unusually polished, uses a new contact number without explanation, and adds persuasive pressure near the end. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",banking,Chat App,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,None,High,Investment Advisor,4,trust,Allows verification,Warn User
4675,"A bot-like sender announces a benefit linked to pharmacy delivery, pushes the receiver away from normal support channels, and repeatedly asks the receiver to transfer money quickly. The conversation attempts to control the receiver's next action rather than allow independent verification.",pharmacy delivery,Voice Transcript,Fake,Bot-Generated Conversation,Social Media DM,Mass Messaging,Account Takeover,High,Government Officer,9,urgency,Avoids verification,Warn User
4676,"Taha writes about confirming attendance in the charity donation setting, and the conversation stays practical because the sender allows time for checking the information and simply asks the receiver to reply when free. The conversation remains focused on coordination rather than pressure or reward.",charity donation,Chat App,Real,Genuine Human Conversation,Text,None,None,Low,None,0,trust,Provides normal verification,Allow
4677,"A fake-looking conversation about government service asks the receiver to pay a small release fee, while the sender uses unusually polished wording for a personal emergency and avoids a clear identity check. The risk increases because the message links government service with fear and immediate compliance.",government service,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Credential Harvesting,Identity Fraud,Critical,Customer Support,7,fear,Requests secrecy,Block and Escalate
4678,"The conversation becomes risky because it uses fear pressure, asks the receiver not to discuss the matter, and pushes the receiver to upload an identity document without normal verification. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",tax office,WhatsApp,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Banking Scam,High,Police Officer,7,fear,Requests secrecy,Warn User
4679,"The message imitates the telecom office, creates a deadline around electricity complaint, asks for a screenshot of a confirmation code, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the telecom office.",electricity complaint,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Synthetic Speech,Medical Scam,High,Friend,10,panic,Pushes immediate action,Warn User
4680,"The conversation becomes risky because it uses panic pressure, uses a new contact number without explanation, and pushes the receiver to approve a suspicious request without normal verification. The risk increases because the message links investment platform with panic and immediate compliance.",investment platform,SMS,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Credential Harvesting,Tax Refund Scam,Critical,Child,7,panic,Requests secrecy,Block and Escalate
4681,The text appears edited by AI because it combines ordinary conversational fragments with a refined call to action about medical lab report. The conversation attempts to control the receiver's next action rather than allow independent verification.,medical lab report,WhatsApp,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Scholarship Scam,High,Customer Support,7,reward,Avoids verification,Warn User
4682,"A long explanation about job recruitment appears polished but shallow, with generic reassurance, claims the old number is unavailable, and no specific shared background. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",job recruitment,Email,Fake,AI-Generated Text Conversation,Email,Template-Like Generation,None,Medium,Customer Support,2,none,Pushes immediate action,Verify First
4683,"James writes about confirming document submission in the internet service setting, and the conversation stays practical because the sender refers to a previous meeting accurately and simply asks the receiver to bring the printed form. The receiver can verify it through the exam office, so the risk remains limited.",internet service,SMS,Real,Genuine Human Conversation,Email,None,None,Low,None,0,none,Provides normal verification,Allow
4684,"A fake-looking conversation about telecom support asks the receiver to avoid calling the official office, while the sender claims the old number is unavailable and avoids a clear identity check. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",telecom support,Chat App,Fake,Scam-Oriented Deepfake Conversation,Text,Authority Spoofing,Investment Scam,High,Tax Consultant,9,guilt,Refuses call-back,Warn User
4685,"Usman follows up with the scholarship office about confirming attendance, but the message remains safe because it allows time for checking the information and avoids emotional pressure. The receiver can verify it through the scholarship office, so the risk remains limited.",remote work,Social Media DM,Real,Genuine Human Conversation,Text,None,None,Low,None,1,none,Allows verification,Allow
4686,"A long explanation about job recruitment appears polished but shallow, with generic reassurance, ignores a direct question and repeats the instruction, and no specific shared background. The suspicious part is that the sender avoids naming the branch or office while demanding that the receiver share a wallet PIN.",job recruitment,Voice Transcript,Fake,AI-Generated Text Conversation,Email,Template-Like Generation,Account Takeover,High,HR Manager,6,trust,Avoids verification,Warn User
4687,"The dialogue is consistent with genuine communication because it discusses asking for a prescription refill reminder, uses the official portal for verification, and contains no hidden identity claim. The request is linked to asking for a prescription refill reminder, and no confidential credential is requested.",job recruitment,Email,Real,Genuine Human Conversation,Text,None,None,Low,None,1,trust,No verification needed,Allow
4688,"The message is suspiciously mixed: it begins with informal human wording, then offers a reward for immediate confirmation and turns into a carefully persuasive request. The risk increases because the message links tax office with sympathy and immediate compliance.",tax office,Chat App,Suspicious,Human + AI Edited Conversation,Chat App,Polished Manipulation,E-commerce Scam,Medium,Customer Support,5,sympathy,Pushes immediate action,Verify First
4689,"The sender references confirming office hours naturally at first, yet the later wording becomes formal, optimized, and emotionally persuasive. The risk increases because the message links remote work with trust and immediate compliance.",remote work,Chat App,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Charity Scam,Medium,Customer Support,8,trust,Pushes immediate action,Verify First
4690,"The conversation starts with a normal greeting and then connects parcel delivery with a sudden warning, asks for a screenshot of a confirmation code, and pressures the receiver to upload an identity document before checking the source. The suspicious part is that the sender adds a reference number without a traceable source while demanding that the receiver confirm a login code.",parcel delivery,WhatsApp,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Impersonation,Emergency Financial Scam,High,Professor,9,fear,Avoids verification,Warn User
4691,"A long explanation about banking appears polished but shallow, with generic reassurance, mentions a deadline that was never announced, and no specific shared background. The suspicious part is that the sender refers to a blocked dashboard notification while demanding that the receiver send a one-time password.",banking,SMS,Fake,AI-Generated Text Conversation,Chat App,Automated Persuasion,Job Scam,Medium,Customer Support,5,confusion,Allows verification,Verify First
4692,"In a normal conversation about confirming an interview slot, the sender asks to share the meeting agenda, gives enough background, and does not force immediate action. The message includes normal context and does not ask the receiver to bypass official steps.",remote work,Email,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,1,none,Allows verification,Allow
4693,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about research collaboration sound smoother and more strategic. The receiver is not given a safe chance to confirm the claim through the billing department.",research collaboration,WhatsApp,Suspicious,Human + AI Edited Conversation,Text,Mixed Human-AI Editing,Investment Scam,Medium,Investment Advisor,6,authority,Allows verification,Verify First
4694,"In a normal conversation about confirming a supervisor meeting, the sender asks to check whether the office is open, gives enough background, and does not force immediate action. The message includes normal context and does not ask the receiver to bypass official steps.",electricity complaint,SMS,Real,Genuine Human Conversation,Email,None,None,Medium,None,1,trust,No verification needed,Verify First
4695,"The text uses smooth transitions and complete sentences about job recruitment, yet it feels artificial because it ignores the practical question raised earlier. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",job recruitment,Voice Transcript,Fake,AI-Generated Text Conversation,Email,Automated Persuasion,Phishing,Low,None,2,none,Allows verification,Allow
4696,"Noor follows up with the online store about asking for a location pin, but the message remains safe because it gives a clear non-financial purpose and avoids emotional pressure. The sender gives the receiver enough time to check the details before replying.",mobile wallet,WhatsApp,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,trust,No verification needed,Allow
4697,"A routine message from Sara discusses asking for a prescription refill reminder; the sender allows the receiver to confirm later, keeps the tone calm, and gives no instruction involving money or secrecy. The message includes normal context and does not ask the receiver to bypass official steps.",telecom support,Voice Transcript,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,0,trust,Provides normal verification,Allow
4698,"The message imitates the tax support desk, creates a deadline around online shopping, adds emotional pressure after the receiver hesitates, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the tax support desk.",online shopping,Email,Fake,Scam-Oriented Deepfake Conversation,WhatsApp,Emotional Manipulation,Emergency Financial Scam,High,HR Manager,9,guilt,Pushes immediate action,Warn User
4699,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about conference registration sound smoother and more strategic. The conversation attempts to control the receiver's next action rather than allow independent verification.",conference registration,Social Media DM,Suspicious,Human + AI Edited Conversation,Chat App,AI-Assisted Rewriting,E-commerce Scam,High,None,3,trust,Avoids verification,Warn User
4700,"The message imitates the telecom office, creates a deadline around exam registration, asks for a screenshot of a confirmation code, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the telecom office.",exam registration,Social Media DM,Fake,Scam-Oriented Deepfake Conversation,Text,Impersonation,Romance Scam,High,Relative,8,authority,Pushes immediate action,Warn User
4701,"The exchange concerns checking whether a refund was processed, where Maryam provides a reasonable explanation, uses the official portal for verification, and waits for the receiver to respond normally. The sender gives the receiver enough time to check the details before replying.",mobile wallet,SMS,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,0,none,Provides normal verification,Allow
4702,"A routine message from Asad discusses rescheduling a session; the sender allows time for checking the information, keeps the tone calm, and gives no instruction involving money or secrecy. The conversation remains focused on coordination rather than pressure or reward.",tax office,WhatsApp,Real,Genuine Human Conversation,Voice Transcript,None,None,Low,None,2,none,No verification needed,Allow
4703,"A long explanation about hostel management appears polished but shallow, with generic reassurance, offers a reward for immediate confirmation, and no specific shared background. The conversation attempts to control the receiver's next action rather than allow independent verification.",hostel management,Social Media DM,Fake,AI-Generated Text Conversation,Email,Synthetic Text Generation,Account Takeover,Medium,None,6,authority,Pushes immediate action,Verify First
4704,"The conversation shifts into template-style advice on requesting updated bank details, where the sender sounds helpful but avoids direct personal accountability. The risk increases because the message links exam registration with none and immediate compliance.",exam registration,Chat App,Fake,AI-Generated Text Conversation,Email,LLM-Generated Reply,None,Medium,None,4,none,Pushes immediate action,Verify First
4705,"A suspicious sender pretends to be Bank Officer, claims there is a problem in parcel delivery, gives no verifiable institutional contact, and asks the receiver to approve a suspicious request. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",parcel delivery,SMS,Fake,Scam-Oriented Deepfake Conversation,Text,Emotional Manipulation,Charity Scam,High,Bank Officer,10,fear,Pushes immediate action,Warn User
4706,"The generated-looking message provides neat steps for asking for permission to submit late, but the tone is too uniform and the sender adds a reference number without a traceable source. The receiver is not given a safe chance to confirm the claim through the travel agency.",insurance claim,Email,Fake,AI-Generated Text Conversation,Email,Synthetic Text Generation,Job Scam,Medium,Customer Support,3,confusion,Allows verification,Verify First
4707,"The conversation becomes risky because it uses guilt pressure, refers to a blocked dashboard notification, and pushes the receiver to click an unknown payment link without normal verification. The receiver is not given a safe chance to confirm the claim through the telecom office.",tax office,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Identity Fraud,High,Relative,10,guilt,Requests secrecy,Warn User
4708,"The message looks official because it connects medical lab report with a sudden warning, pushes the receiver away from normal support channels, and pressures the receiver to install a remote access app before checking the source. The suspicious part is that the sender claims the old number is unavailable while demanding that the receiver click an unknown payment link.",medical lab report,Voice Transcript,Fake,Scam-Oriented Deepfake Conversation,Text,Emotional Manipulation,Banking Scam,High,Relative,8,guilt,Refuses call-back,Warn User
4709,"The chat has mass-message features, including reward wording, adds emotional pressure after the receiver hesitates, and a request to reply with card details. The conversation attempts to control the receiver's next action rather than allow independent verification.",tax office,SMS,Fake,Bot-Generated Conversation,Chat App,Bot Script,Account Takeover,Critical,Customer Support,5,urgency,Requests secrecy,Block and Escalate
4710,"The sender creates a believable story around confirming a lab test schedule, but then mentions a delayed verification window, applies fear pressure, and requests that the receiver approve a suspicious request. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",loan approval,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Emergency Financial Scam,Critical,Friend,8,fear,Pushes immediate action,Block and Escalate
4711,"Hassan follows up with the conference secretariat about asking for class notes, but the message remains safe because it allows time for checking the information and avoids emotional pressure. The sender gives the receiver enough time to check the details before replying.",pharmacy delivery,SMS,Real,Genuine Human Conversation,Text,None,None,Low,None,1,none,No verification needed,Allow
4712,"The conversation becomes risky because it uses panic pressure, avoids naming the branch or office, and pushes the receiver to confirm a login code without normal verification. The conversation attempts to control the receiver's next action rather than allow independent verification.",tax office,Social Media DM,Fake,Voice-Cloned Conversation,Voice Transcript,Audio Identity Spoofing,Identity Fraud,Critical,Police Officer,8,panic,Refuses call-back,Block and Escalate
4713,"The message appears routine until it connects travel booking with a sudden warning, mentions a deadline that was never announced, and pressures the receiver to approve a suspicious request before checking the source. The conversation attempts to control the receiver's next action rather than allow independent verification.",travel booking,Chat App,Fake,Scam-Oriented Deepfake Conversation,Text,Emotional Manipulation,E-commerce Scam,High,Customer Support,7,authority,Requests secrecy,Warn User
4714,"The sender creates a believable story around asking for a location pin, but then offers a reward for immediate confirmation, applies sympathy pressure, and requests that the receiver avoid calling the official office. The suspicious part is that the sender uses unusually polished wording for a personal emergency while demanding that the receiver avoid calling the official office.",travel booking,Chat App,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Banking Scam,High,Child,7,sympathy,Requests secrecy,Warn User
4715,"The caller sounds familiar and connects property rental with a sudden warning, ignores a direct question and repeats the instruction, and pressures the receiver to install a remote access app before checking the source. The receiver is not given a safe chance to confirm the claim through the scholarship office.",property rental,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Speaker Impersonation,Banking Scam,Critical,Relative,7,sympathy,Requests secrecy,Block and Escalate
4716,"The message imitates the government helpdesk, creates a deadline around hostel management, claims the system will automatically close the request, and discourages the receiver from verifying independently. The receiver is not given a safe chance to confirm the claim through the government helpdesk.",hostel management,Chat App,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Emotional Manipulation,Travel Booking Scam,Critical,University Clerk,9,fear,Avoids verification,Block and Escalate
4717,"The sender creates a believable story around clarifying assignment requirements, but then uses formal wording inconsistent with earlier messages, applies authority pressure, and requests that the receiver avoid calling the official office. The suspicious part is that the sender gives no verifiable institutional contact while demanding that the receiver click an unknown payment link.",internet service,WhatsApp,Fake,Scam-Oriented Deepfake Conversation,Voice Transcript,Credential Harvesting,Job Scam,Critical,HR Manager,7,authority,Pushes immediate action,Block and Escalate
4718,"A scripted message from the government helpdesk claims an opportunity is available, uses generic greetings, and pushes the receiver to click an unknown payment link. The conversation attempts to control the receiver's next action rather than allow independent verification.",hospital appointment,Voice Transcript,Fake,Bot-Generated Conversation,Chat App,Mass Messaging,E-commerce Scam,High,Bank Officer,8,curiosity,Requests secrecy,Warn User
4719,"The conversation mixes a realistic personal opening with AI-like rewritten sentences, making the request about job recruitment sound smoother and more strategic. The request becomes unsafe because it combines identity uncertainty with a sensitive action.",job recruitment,Social Media DM,Suspicious,Human + AI Edited Conversation,Chat App,Persuasive Reframing,None,High,HR Manager,8,reward,Avoids verification,Warn User
4720,"The message imitates the courier office, creates a deadline around exam registration, claims the system will automatically close the request, and discourages the receiver from verifying independently. The conversation attempts to control the receiver's next action rather than allow independent verification.",exam registration,Voice Transcript,Fake,Voice-Cloned Conversation,Voice Transcript,Voice Cloning,Banking Scam,Critical,Doctor,8,sympathy,Requests secrecy,Block and Escalate
